"0","0.026*""image"" + 0.024*""using"" + 0.022*""based"" + 0.017*""images"" + 0.014*""segmentation"" + 0.013*""detection"" + 0.012*""recognition"" + 0.009*""analysis"" + 0.008*""face"" + 0.007*""brain"" + 0.007*""visual"" + 0.007*""object"" + 0.006*""automatic"" + 0.006*""classification"" + 0.006*""model"" + 0.006*""shape"" + 0.006*""feature"" + 0.006*""multi"" + 0.006*""tracking"" + 0.006*""human"""
"
","
"
"1","0.026*""graphs"" + 0.018*""speech"" + 0.010*""graph"" + 0.009*""algorithms"" + 0.009*""complexity"" + 0.008*""problem"" + 0.007*""recognition"" + 0.007*""number"" + 0.006*""trees"" + 0.006*""sets"" + 0.006*""bounds"" + 0.006*""problems"" + 0.005*""algorithm"" + 0.005*""linear"" + 0.005*""random"" + 0.005*""minimum"" + 0.005*""two"" + 0.005*""optimal"" + 0.005*""approximation"" + 0.005*""time"""
"
","
"
"2","0.026*""robot"" + 0.021*""based"" + 0.020*""using"" + 0.017*""system"" + 0.013*""human"" + 0.010*""motion"" + 0.010*""robots"" + 0.009*""mobile"" + 0.008*""virtual"" + 0.008*""control"" + 0.007*""real"" + 0.007*""robotic"" + 0.007*""planning"" + 0.007*""multi"" + 0.006*""tracking"" + 0.006*""interaction"" + 0.006*""design"" + 0.006*""navigation"" + 0.006*""autonomous"" + 0.006*""vision"""
"
","
"
"3","0.042*""based"" + 0.026*""video"" + 0.017*""using"" + 0.013*""system"" + 0.013*""detection"" + 0.011*""retrieval"" + 0.011*""mobile"" + 0.009*""learning"" + 0.009*""content"" + 0.008*""image"" + 0.008*""information"" + 0.008*""recognition"" + 0.008*""user"" + 0.007*""privacy"" + 0.006*""web"" + 0.006*""coding"" + 0.006*""data"" + 0.006*""multi"" + 0.006*""multimedia"" + 0.005*""social"""
"
","
"
"4","0.059*""control"" + 0.039*""systems"" + 0.024*""time"" + 0.015*""based"" + 0.012*""model"" + 0.012*""nonlinear"" + 0.012*""system"" + 0.011*""design"" + 0.010*""optimal"" + 0.009*""adaptive"" + 0.009*""stability"" + 0.008*""robust"" + 0.008*""analysis"" + 0.008*""linear"" + 0.007*""using"" + 0.007*""discrete"" + 0.007*""state"" + 0.007*""stochastic"" + 0.007*""approach"" + 0.006*""dynamic"""
"
","
"
"5","0.016*""logic"" + 0.014*""de"" + 0.013*""programming"" + 0.009*""systems"" + 0.008*""automata"" + 0.008*""based"" + 0.007*""model"" + 0.007*""reasoning"" + 0.007*""theory"" + 0.006*""optimization"" + 0.006*""problems"" + 0.006*""games"" + 0.006*""multi"" + 0.006*""constraint"" + 0.006*""programs"" + 0.006*""verification"" + 0.006*""approach"" + 0.005*""checking"" + 0.005*""order"" + 0.005*""formal"""
"
","
"
"6","0.053*""networks"" + 0.027*""wireless"" + 0.022*""network"" + 0.022*""based"" + 0.018*""sensor"" + 0.012*""mobile"" + 0.010*""routing"" + 0.010*""energy"" + 0.009*""efficient"" + 0.009*""protocol"" + 0.008*""distributed"" + 0.008*""performance"" + 0.007*""control"" + 0.007*""scheme"" + 0.007*""multi"" + 0.007*""data"" + 0.007*""ad"" + 0.007*""traffic"" + 0.007*""hoc"" + 0.007*""management"""
"
","
"
"7","0.019*""method"" + 0.011*""equations"" + 0.009*""finite"" + 0.009*""problems"" + 0.008*""methods"" + 0.008*""order"" + 0.007*""based"" + 0.007*""linear"" + 0.007*""numerical"" + 0.007*""equation"" + 0.007*""algorithm"" + 0.007*""differential"" + 0.006*""analysis"" + 0.006*""two"" + 0.006*""key"" + 0.006*""quantum"" + 0.005*""functions"" + 0.005*""new"" + 0.005*""nonlinear"" + 0.005*""using"""
"
","
"
"8","0.044*""data"" + 0.021*""system"" + 0.014*""information"" + 0.013*""health"" + 0.013*""based"" + 0.011*""research"" + 0.010*""management"" + 0.009*""medical"" + 0.009*""ontology"" + 0.009*""clinical"" + 0.009*""using"" + 0.008*""analysis"" + 0.008*""semantic"" + 0.007*""monitoring"" + 0.007*""web"" + 0.007*""care"" + 0.007*""support"" + 0.006*""electronic"" + 0.006*""knowledge"" + 0.005*""integration"""
"
","
"
"9","0.023*""based"" + 0.021*""systems"" + 0.012*""system"" + 0.011*""model"" + 0.011*""software"" + 0.011*""performance"" + 0.011*""distributed"" + 0.011*""service"" + 0.010*""parallel"" + 0.010*""using"" + 0.010*""computing"" + 0.010*""analysis"" + 0.009*""cloud"" + 0.009*""applications"" + 0.008*""approach"" + 0.008*""data"" + 0.008*""oriented"" + 0.008*""framework"" + 0.008*""architecture"" + 0.007*""time"""
"
","
"
